Canton,Pop,,,,,
Zurich, 153 0121.5 ,ZH,,,,
Bern, 103 7225.5 ,BE,,,,
Lucerne, 41 1338.5 ,LU,,,,
Uri, 3 6568.0 ,UR,,,,
Schwyz, 15 9822.5 ,SZ,,,,
Obwalden, 3 7885.5 ,OW,,,,
Nidwalden, 4 3155.0 ,NW,,,,
Glarus, 4 0496.5 ,GL,,,,
Zug, 12 7239.5 ,ZG,,,,
Fribourg, 32 0248.5 ,FR,,,,
Solothurn, 27 4220.5 ,SO,,,,
Basel-Stadt, 19 5305.0 ,BS,,,,
Basel-Landschaft, 28 8800.0 ,BL,,,,
Schaffhausen, 8 2169.5 ,SH,,,,
Appenzell A. Rh., 5 5339.5 ,AR,,,,
Appenzell I. Rh., 1 6136.5 ,AI,,,,
St. Gallen, 50 9215.5 ,SG,,,,
Graubünden, 19 8700.0 ,GR,,,,
Aargau, 68 2026.0 ,AG,,,,
Thurgau, 27 8009.5 ,TG,,,,
Ticino, 35 2417.0 ,TI,,,,
Vaud, 80 2121.5 ,VD,,,,
Valais, 34 4740.0 ,VS,,,,
Neuchâtel, 17 6673.0 ,NE,,,,
Geneva, 50 1804.0 ,GE,,,,
Jura, 7 3501.5 ,JU,,,,
,,,,,,
,,,,,,